regione;anno;quantita_t
Piemonte;2023;64.860
Valle d'Aosta;2023;14.133
Lombardia;2023;113.509
Trentino-Alto Adige;2023;23.638
Veneto;2023;161.978
Friuli-Venezia Giulia;2023;8.998
Liguria;2023;72.061
Emilia-Romagna;2023;82.960
Toscana;2023;254.281
Umbria;2023;25.706
Marche;2023;86.509
Lazio;2023;276.051
Abruzzo;2023;85.352
Molise;2023;560
Campania;2023;476.168
Puglia;2023;73.065
Basilicata;2023;30.009
Calabria;2023;5.229
Sicilia;2023;92.690
Sardegna;2023;0
Italia;2023;1.947.757
