regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2024;173.682;187.444;361.126
VALLE D'AOSTA;2024;1.192;4.399;5.592
LOMBARDIA;2024;776.698;837.265;1.613.963
TRENTINO ALTO ADIGE;2024;208.652;27.228;235.880
VENETO;2024;503.966;168.226;672.192
FRIULI VENEZIA GIULIA;2024;374.298;41.179;415.477
LIGURIA;2024;8.367;33.926;42.294
EMILIA ROMAGNA;2024;234.131;201.887;436.017
TOSCANA;2024;195.129;75.236;270.366
UMBRIA;2024;3.465;13.247;16.712
MARCHE;2024;54.183;28.166;82.350
LAZIO;2024;80.147;31.396;111.543
ABRUZZO;2024;23.290;9.123;32.414
MOLISE;2024;23.654;0;23.654
CAMPANIA;2024;185.132;27.480;212.612
PUGLIA;2024;184.036;22.805;206.841
BASILICATA;2024;11.915;0;11.915
CALABRIA;2024;140.246;17.843;158.088
SICILIA;2024;94.277;241;94.518
SARDEGNA;2024;66.052;2.003;68.055
Italia;2024;3.342.513;1.729.094;5.071.607
Paese;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
AFGHANISTAN;2024;272,7;3,9;276,6
ALBANIA;2024;707,3;0,0;707,3
ANDORRA;2024;217,7;0,1;217,8
ANGOLA;2024;700,9;0,0;700,9
ARABIA SAUDITA;2024;4,5;0,0;4,5
ARMENIA;2024;205,5;0,0;205,5
AUSTRALIA;2024;0,0;289,3;289,3
AUSTRIA;2024;498.591,9;215.362,3;713.954,2
BANGLADESH;2024;90,6;0,0;90,6
BELGIO;2024;42.413,8;44.933,4;87.347,2
BHUTAN;2024;102,6;0,0;102,6
BOSNIA-ERZEGOVINA;2024;5.301,8;0,0;5.301,8
BRASILE;2024;182,0;0,0;182,0
BULGARIA;2024;78.289,2;46.546,3;124.835,4
CANADA;2024;322,1;0,0;322,1
CINA;2024;249,9;0,0;249,9
CIPRO;2024;52.307,3;0,0;52.307,3
COREA DEL SUD;2024;999,7;0,0;999,7
CROAZIA;2024;122.602,6;2.523,9;125.126,5
DANIMARCA;2024;156.258,7;19.825,4;176.084,1
EGITTO;2024;872,1;16,0;888,1
EMIRATI ARABI UNITI;2024;1.054,0;0,0;1.054,0
ESTONIA;2024;291,6;15,0;306,6
FINLANDIA;2024;23.910,1;140,2;24.050,3
FRANCIA;2024;90.982,8;205.862,3;296.845,1
GERMANIA;2024;371.673,2;721.871,9;1.093.545,1
GIAPPONE;2024;9.757,3;0,0;9.757,3
GRECIA;2024;108.023,6;14.967,0;122.990,6
HONG KONG;2024;979,8;0,0;979,8
INDIA;2024;155.039,8;0,0;155.039,8
INDONESIA;2024;28.798,2;0,0;28.798,2
KAZAKHISTAN;2024;153,4;0,0;153,4
LAOS;2024;525,9;0,0;525,9
LETTONIA;2024;23.179,8;1.025,4;24.205,2
LITUANIA;2024;143,9;0,0;143,9
MACEDONIA;2024;249,0;0,0;249,0
MALESIA;2024;8.158,5;0,0;8.158,5
MALTA;2024;0,0;24,0;24,0
MAROCCO;2024;2.882,2;0,0;2.882,2
NORVEGIA;2024;831,1;0,0;831,1
OMAN;2024;665,7;0,0;665,7
PAESI BASSI;2024;37.033,5;17.430,0;54.463,5
PAKISTAN;2024;56.615,8;0,0;56.615,8
POLONIA;2024;83.116,2;7.287,3;90.403,5
PORTOGALLO;2024;7.645,8;1.373,0;9.018,8
QATAR;2024;29,4;0,0;29,4
REGNO UNITO;2024;996,5;29,5;1.025,9
REPUBBLICA CECA;2024;69.657,9;749,4;70.407,4
ROMANIA;2024;10.367,2;3.863,6;14.230,9
SENEGAL;2024;0,1;0,0;0,1
SERBIA E MONTENEGRO;2024;1.218,2;0,1;1.218,3
SEYCHELLES;2024;24,9;0,0;24,9
SINGAPORE;2024;727,2;0,0;727,2
SLOVACCHIA;2024;134.724,5;882,0;135.606,5
SLOVENIA;2024;233.408,6;10.144,6;243.553,2
SPAGNA;2024;218.143,7;64.636,2;282.779,9
SUD AFRICA;2024;103,1;0,0;103,1
SVEZIA;2024;119.361,9;288.744,8;408.106,7
SVIZZERA;2024;49.492,3;51.200,5;100.692,8
TAIWAN;2024;4.723,0;0,0;4.723,0
THAILANDIA;2024;18.614,9;0,0;18.614,9
TOGO;2024;0,4;0,4;0,8
TURCHIA;2024;194.262,4;0,0;194.262,4
UNGHERIA;2024;301.212,5;9.346,5;310.559,0
URUGUAY;2024;113,4;0,0;113,4
USA;2024;2.733,3;0,0;2.733,3
VIETNAM;2024;10.193,9;0,0;10.193,9
TOTALE;;3.342.513,1;1.729.094,2;5.071.607,3
2024;5.071.607,3;;;
2023;5.499.745,1;;;
2022;4.848.844,9;;;
2021;3.908.854,8;;;
2020;3.634.198,0;;;
2019;3.942.406,1;;;
2018;3.475.285,8;;;
