sezione;col1;col2;col3;col4
Nord;71;224.793;242.468;467.261
Centro;23;59.160;44.935;104.095
Sud;36;181.544;38.570;220.114
Italia;130;465.497;325.973;791.470
Trattamento integrato aerobico e anaerobico;;;;
Area geografica;Numero impianti;Fanghi (t);Altri RS (t);Totale RS (t)
Nord;23;66.623;108.700;175.323
Centro;4;14.889;709;15.598
Sud;3;0;88;88
Italia;30;81.512;109.497;191.009
Digestione anaerobica;;;;
Area geografica;Numero impianti;Fanghi (t);Altri RS (t);Totale RS (t)
Nord;16;441.230;28.993;470.223
Sud;1;9.907;63.947;73.854
Italia;17;451.137;92.940;544.077
Trattamento meccanico biologico (TMB);;;;
Area geografica;Numero impianti;RS(t);;
Nord;21;149.703,0;;
Centro;8;72.301,0;;
Sud;7;9.133,0;;
Italia;36;231.137,0;;
Incenerimento;;;;
Area geografica;Numero impianti;Rifiuti combustibili (EER 191210)(t);Altri RS non pericolosi (t);RS pericolosi (t)
Nord;47;96.099;755.406;298.308
Centro;7;0;6.422;7.342
Sud;26;6.013;32.189;110.787
Italia;80;102.113;794.017;416.437
Coincenerimento;;;;
Area geografica;Numero impianti;Rifiuti combustibili (EER 191210)(t);Altri RS non pericolosi (t);RS pericolosi (t)
Nord;199;67.069;1.186.433;81.026
Centro;64;17.593;220.295;0
Sud;41;79.745;144.969;31.508
Italia;304;164.407;1.551.697;112.534
Smaltimento in discarica;;;;
Area geografica;Numero impianti;Rifiuti non pericolosi (t);Rifiuti pericolosi (t);Totale RS (t)
NORD;157;4.556.500;732.288;5.288.788
CENTRO;46;2.069.627;188.485;2.258.112
SUD;82;1.931.356;394.602;2.325.958
Italia;285;8.557.483;1.315.375;9.872.858
Demolitori veicoli (d.lgs 209/2003);;;;
Area geografica;Numero impianti;Veicoli (t);;
Nord;626;575.791;;
Centro;212;215.242;;
Sud;579;426.482;;
Italia;1.417;1.217.515;;
Rottamatori veicoli (d.lgs. n. 209/2003);;;;
Area geografica;Numero impianti;Veicoli (EER 160106)(t);Altri RS (t);Totale (t)
Nord;47;16.550;15.771;32.321
Centro;29;3.458;7.114;10.572
Sud;11;14.040;19.629;33.670
Italia;87;34.048;42.515;76.563
Frantumatori veicoli (d.lgs. n. 209/2003);;;;
Area geografica;Numero impianti;Veicoli (EER 160106)(t);Altri RS (t);Totale (t)
Nord;16;524.933;130.230;655.162
Centro;7;241.233;22.252;263.484
Sud;5;38.057;19.702;57.759
Italia;28;804.222;172.183;976.405
