regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2020;154.177;8.133;162.310
LOMBARDIA;2020;3.458.386;14.293;3.472.679
TRENTINO ALTO ADIGE;2020;143.220;1;143.221
VENETO;2020;526.603;26;526.629
FRIULI VENEZIA GIULIA;2020;1.968.057;0;1.968.057
LIGURIA;2020;37.497;2;37.499
EMILIA ROMAGNA;2020;259.265;272;259.536
TOSCANA;2020;33.408;2.309;35.716
UMBRIA;2020;362;0;362
MARCHE;2020;40.187;68;40.255
LAZIO;2020;1.284;0;1.284
ABRUZZO;2020;3.101;0;3.101
CAMPANIA;2020;6.312;11;6.323
PUGLIA;2020;53;0;53
BASILICATA;2020;565;0;565
CALABRIA;2020;17.725;0;17.725
SICILIA;2020;12.425;799;13.224
SARDEGNA;2020;81;59.198;59.279
Italia;2020;6.662.705;85.111;6.747.817
