sezione;col1;col2;col3;col4;col5
Nord;86.973.841;7.147.982;0;94.121.823;
Centro;26.854.390;1.228.577;0;28.082.967;
Sud;40.452.520;1.806.146;0;42.258.666;
Italia;154.280.751;10.182.705;0;164.463.456;
Produzione dei rifiuti speciali pericolosi e non pericolosi per attivita' economica - 2023 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;268.642;22.670;27.398;318.710;
02 - Silvicoltura ed utilizzo di aree forestali;2.170;950;3.508;6.628;
03 - Pesca e acquacoltura;188;388;1.221;1.797;
05 - Estrazione di carbone (esclusa torba);-;-;1.706;1.706;
06 - Estrazione di petrolio greggio e di gas naturale;39.788;12.897;721.102;773.787;
07 - Estrazione di minerali metalliferi;-;341;-;341;
08 - Altre attivita' di estrazione di minerali da cave e miniere;136.456;59.589;20.236;216.281;
09 - Attivita' dei servizi di supporto all'estrazione;149.447;269;1.528;151.244;
10, 11 - Industria alimentare e delle bevande;1.746.891;366.096;810.793;2.923.780;
12 - Industria del tabacco;14.015;1.225;997;16.237;
13 - Industria tessile;180.022;65.923;25.349;271.294;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;48.467;28.281;19.153;95.901;
15 - Fabbricazione di articoli in pelle e simili;219.789;162.311;34.611;416.711;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;1.295.800;75.415;79.148;1.450.363;
17 - Fabbricazione di carta e di prodotti in carta;947.181;431.032;165.178;1.543.391;
18 - Stampa e riproduzione di supporti registrati;240.641;55.213;33.516;329.370;
19 - Raffinerie petrolio, fabbricazione coke;301.070;44.030;122.935;468.035;
20 - Fabbricazione di prodotti chimici;1.172.135;250.088;272.427;1.694.650;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;583.835;74.737;69.571;728.143;
22 - Industria gomma e materie plastiche;628.969;92.988;123.512;845.469;
23 - Industria minerali non metalliferi;2.031.093;343.509;207.621;2.582.223;
24 - Industria metallurgica;5.119.122;699.669;1.824.505;7.643.296;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);2.873.997;357.397;422.584;3.653.978;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;41.156;8.654;21.953;71.763;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;202.622;33.281;25.273;261.176;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;889.287;87.297;44.688;1.021.272;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;342.292;40.496;120.636;503.424;
30 - Fabbricazione di altri mezzi di trasporto;67.400;38.258;36.393;142.051;
31 - Fabbricazione di mobili;478.289;160.724;29.545;668.558;
32 - Altre industrie manifatturiere;95.526;28.841;6.078;130.445;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;155.254;54.920;32.913;243.087;
35 - Fornitura di energia elettrica, gas, vapore e aria;475.364;399.167;947.734;1.822.265;
36 - Raccolta, trattamento e fornitura di acqua;830.184;112.073;374.556;1.316.813;
37 - Gestione delle reti fognarie;1.764.646;830.902;518.834;3.114.382;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;20.223.757;7.154.776;10.575.201;37.953.734;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;401.561;96.424;258.649;756.634;
41, 42, 43 - Costruzioni;45.573.226;14.866.731;22.851.627;83.291.584;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;996.415;357.178;678.594;2.032.187;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);2.262.229;313.201;235.374;2.810.804;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);98.733;26.768;48.501;174.002;
49 - Trasporto terrestre e trasporto mediante condotte;495.435;99.785;152.379;747.599;
50 - Trasporto marittimo e per vie d'acqua;17.731;157;4.203;22.091;
51 - Trasporto aereo;612;575;670;1.857;
52 - Magazzinaggio e attivita' di supporto ai trasporti;262.877;56.561;59.884;379.322;
53 - Servizi postali e attivita' di corriere;681;394;105;1.180;
55 - Alloggio;3.499;3.426;8.425;15.350;
56 - Attivita' dei servizi di ristorazione;17.248;7.931;3.383;28.562;
58 - Attivita' editoriali;7.860;4.941;1.254;14.055;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;184;402;51;637;
60 - Attivita' di programmazione e trasmissione;1.084;946;488;2.518;
61 - Telecomunicazioni;2.860;1.210;2.093;6.163;
62 - Produzione di software, consulenza informatica e attivita' connesse;1.779;669;339;2.787;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;1.060;908;245;2.213;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);2.744;468;189;3.401;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);375;117;6;498;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;36;38;-;74;
68 - Attivita' immobiliari;4.038;2.096;6.485;12.619;
69 - Attivita' legali e contabilita';99;298;129;526;
70 - Attivita' di direzione aziendale e di consulenza gestionale;4.508;1.549;7.725;13.782;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;24.676;2.641;3.312;30.629;
72 - Ricerca scientifica e sviluppo;27.846;2.956;2.573;33.375;
73 - Pubblicita' e ricerche di mercato;2.769;969;298;4.036;
74 - Altre attivita' professionali, scientifiche e tecniche;12.148;1.187;2.930;16.265;
75 - Servizi veterinari;727;231;640;1.598;
77 - Attivita' di noleggio e leasing operativo;11.895;10.730;3.834;26.459;
78 - Attivita' di ricerca, selezione, fornitura di personale;132;1;8;141;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;73;120;112;305;
80 - Servizi di vigilanza e investigazione;248;158;108;514;
81 - Attivita' di servizi per edifici e paesaggio;79.601;47.074;77.067;203.742;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;62.768;12.117;26.653;101.538;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;23.195;5.100;16.375;44.670;
85 - Istruzione;2.549;1.370;998;4.917;
86, 87, 88 - Sanita' e assistenza sociale;108.734;51.126;65.720;225.580;
90 - Attivita' creative, artistiche e di intrattenimento;2.078;1.569;1.245;4.892;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;642;145;37;824;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;1.086;380;66;1.532;
93 - Attivita' sportive, di intrattenimento e di divertimento;5.881;1.118;1.054;8.053;
94 - Attivita' di organizzazioni associative;1.285;258;607;2.150;
95 - Riparazione di computer e di beni per uso personale e per la casa;4.289;713;241;5.243;
96 - Altre attivita' di servizi per la persona;24.289;4.899;10.027;39.215;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;26;-;-;26;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;539;-;-;539;
99 - Organizzazioni ed organismi extraterritoriali;3;141;371;515;
ND - Attivita' ISTAT non determinata;1.975;784;1.189;3.948;
Totale;94.121.823;28.082.967;42.258.666;164.463.456;
Produzione dei rifiuti speciali non pericolosi per attivita' economica - 2023 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;264.776;22.069;26.551;313.396;
02 - Silvicoltura ed utilizzo di aree forestali;2.036;917;3.503;6.456;
03 - Pesca e acquacoltura;177;380;1.126;1.683;
05 - Estrazione di carbone (esclusa torba);-;-;1.698;1.698;
06 - Estrazione di petrolio greggio e di gas naturale;38.184;7.931;633.238;679.353;
07 - Estrazione di minerali metalliferi;-;341;-;341;
08 - Altre attivita' di estrazione di minerali da cave e miniere;135.664;59.350;17.958;212.972;
09 - Attivita' dei servizi di supporto all'estrazione;147.876;261;952;149.089;
10, 11 - Industria alimentare e delle bevande;1.728.510;364.528;808.263;2.901.301;
12 - Industria del tabacco;13.527;1.208;948;15.683;
13 - Industria tessile;166.636;61.825;25.192;253.653;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;47.267;28.184;18.816;94.267;
15 - Fabbricazione di articoli in pelle e simili;215.674;159.000;34.030;408.704;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;1.282.235;73.633;78.622;1.434.490;
17 - Fabbricazione di carta e di prodotti in carta;933.511;427.472;161.396;1.522.379;
18 - Stampa e riproduzione di supporti registrati;227.126;52.960;32.406;312.492;
19 - Raffinerie petrolio, fabbricazione coke;22.454;8.408;13.439;44.301;
20 - Fabbricazione di prodotti chimici;610.275;195.017;222.881;1.028.173;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;141.924;41.098;28.452;211.474;
22 - Industria gomma e materie plastiche;551.695;86.216;115.766;753.677;
23 - Industria minerali non metalliferi;1.956.165;337.886;180.615;2.474.666;
24 - Industria metallurgica;4.454.919;590.061;1.749.756;6.794.736;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);2.520.568;312.572;393.277;3.226.417;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;30.474;7.260;16.446;54.180;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;170.665;30.237;18.362;219.264;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;752.372;74.691;34.846;861.909;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;297.403;36.036;106.609;440.048;
30 - Fabbricazione di altri mezzi di trasporto;43.179;30.616;27.165;100.960;
31 - Fabbricazione di mobili;468.099;158.024;28.940;655.063;
32 - Altre industrie manifatturiere;52.558;22.685;4.699;79.942;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;75.738;47.150;23.204;146.092;
35 - Fornitura di energia elettrica, gas, vapore e aria;432.710;319.028;885.128;1.636.866;
36 - Raccolta, trattamento e fornitura di acqua;827.160;111.514;372.710;1.311.384;
37 - Gestione delle reti fognarie;1.693.901;809.634;475.214;2.978.749;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;17.811.975;6.768.530;10.136.737;34.717.242;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;205.326;66.519;184.955;456.800;
41, 42, 43 - Costruzioni;44.990.437;14.832.991;22.778.778;82.602.206;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;393.521;132.178;199.778;725.477;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);2.197.164;297.789;226.311;2.721.264;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);90.106;22.813;45.451;158.370;
49 - Trasporto terrestre e trasporto mediante condotte;437.299;95.667;133.512;666.478;
50 - Trasporto marittimo e per vie d'acqua;5.800;63;440;6.303;
51 - Trasporto aereo;538;553;655;1.746;
52 - Magazzinaggio e attivita' di supporto ai trasporti;237.391;48.528;47.644;333.563;
53 - Servizi postali e attivita' di corriere;643;378;102;1.123;
55 - Alloggio;3.199;3.287;8.306;14.792;
56 - Attivita' dei servizi di ristorazione;17.143;7.871;3.336;28.350;
58 - Attivita' editoriali;7.774;4.903;1.188;13.865;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;168;372;48;588;
60 - Attivita' di programmazione e trasmissione;1.020;735;481;2.236;
61 - Telecomunicazioni;2.211;925;1.167;4.303;
62 - Produzione di software, consulenza informatica e attivita' connesse;1.633;602;286;2.521;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;972;864;220;2.056;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);2.466;384;145;2.995;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);352;110;6;468;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;34;37;-;71;
68 - Attivita' immobiliari;3.189;1.958;6.391;11.538;
69 - Attivita' legali e contabilita';78;153;120;351;
70 - Attivita' di direzione aziendale e di consulenza gestionale;4.138;1.421;7.637;13.196;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;19.059;1.721;1.898;22.678;
72 - Ricerca scientifica e sviluppo;21.916;2.090;2.253;26.259;
73 - Pubblicita' e ricerche di mercato;2.730;962;291;3.983;
74 - Altre attivita' professionali, scientifiche e tecniche;10.810;766;2.417;13.993;
75 - Servizi veterinari;153;57;292;502;
77 - Attivita' di noleggio e leasing operativo;9.551;8.883;3.251;21.685;
78 - Attivita' di ricerca, selezione, fornitura di personale;130;1;8;139;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;61;119;111;291;
80 - Servizi di vigilanza e investigazione;195;134;99;428;
81 - Attivita' di servizi per edifici e paesaggio;71.448;38.613;61.382;171.443;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;49.010;11.777;24.732;85.519;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;18.217;4.202;9.065;31.484;
85 - Istruzione;1.172;860;405;2.437;
86, 87, 88 - Sanita' e assistenza sociale;16.809;7.692;6.817;31.318;
90 - Attivita' creative, artistiche e di intrattenimento;1.812;1.548;1.231;4.591;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;611;137;30;778;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;851;44;23;918;
93 - Attivita' sportive, di intrattenimento e di divertimento;5.565;1.067;1.030;7.662;
94 - Attivita' di organizzazioni associative;1.033;184;579;1.796;
95 - Riparazione di computer e di beni per uso personale e per la casa;4.014;505;149;4.668;
96 - Altre attivita' di servizi per la persona;16.415;4.582;9.455;30.452;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;26;-;-;26;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;521;-;-;521;
99 - Organizzazioni ed organismi extraterritoriali;1;111;273;385;
ND - Attivita' ISTAT non determinata;1.696;512;827;3.035;
Totale;86.973.841;26.854.390;40.452.520;154.280.751;
Produzione dei rifiuti speciali pericolosi per attivita' economica - 2023 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;3.866;601;847;5.314;
02 - Silvicoltura ed utilizzo di aree forestali;134;33;5;172;
03 - Pesca e acquacoltura;11;8;95;114;
05 - Estrazione di carbone (esclusa torba);-;-;8;8;
06 - Estrazione di petrolio greggio e di gas naturale;1.604;4.966;87.864;94.434;
07 - Estrazione di minerali metalliferi;-;-;-;0;
08 - Altre attivita' di estrazione di minerali da cave e miniere;792;239;2.278;3.309;
09 - Attivita' dei servizi di supporto all'estrazione;1.571;8;576;2.155;
10, 11 - Industria alimentare e delle bevande;18.381;1.568;2.530;22.479;
12 - Industria del tabacco;488;17;49;554;
13 - Industria tessile;13.386;4.098;157;17.641;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;1.200;97;337;1.634;
15 - Fabbricazione di articoli in pelle e simili;4.115;3.311;581;8.007;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;13.565;1.782;526;15.873;
17 - Fabbricazione di carta e di prodotti in carta;13.670;3.560;3.782;21.012;
