regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2024;39.133;1.233;40.366
VALLE D'AOSTA;2024;1;0;1
LOMBARDIA;2024;154.934;1.068;156.002
TRENTINO ALTO ADIGE;2024;8.270;147;8.417
VENETO;2024;24.499;0;24.499
FRIULI VENEZIA GIULIA;2024;40.961;45;41.006
LIGURIA;2024;662;0;662
EMILIA ROMAGNA;2024;81.908;43;81.951
TOSCANA;2024;10.548;62;10.611
UMBRIA;2024;49;0;49
MARCHE;2024;3.168;0;3.168
LAZIO;2024;165.482;244;165.726
ABRUZZO;2024;51.998;0;51.998
MOLISE;2024;12.166;0;12.166
CAMPANIA;2024;450.284;0;450.284
PUGLIA;2024;100.192;0;100.192
BASILICATA;2024;0;1;1
CALABRIA;2024;150.646;10;150.656
SICILIA;2024;3.025;0;3.025
SARDEGNA;2024;887;0;887
Italia;2024;1.298.812;2.855;1.301.667
