sezione;col1;col2;col3;col4;col5;col6;col7
Nord;178;585.880,6;1.019.999,5;1.605.880,1;226.355,7;201.408,6;2.033.644,4
Centro;43;450.447,9;193.568,0;644.015,9;70.578,7;66.329,0;780.923,6
Sud;64;880.388,0;128.789,9;1.009.177,9;177.007,6;48.849,2;1.235.034,7
Italia;285;1.916.716,5;1.342.357,4;3.259.073,9;473.942,0;316.586,8;4.049.602,7
Trattamento integrato aerobico e anaerobico;;;;;;;
Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;25;1.959.819,6;226.544,2;2.186.363,7;93.935,7;149.506,3;2.429.805,8
Centro;2;58.131,2;18.742,2;76.873,4;0,0;0,0;76.873,4
Sud;4;86.834,7;5.830,0;92.664,7;0,0;892,9;93.557,6
Italia;31;2.104.785,5;251.116,4;2.355.901,9;93.935,7;150.399,2;2.600.236,8
Digestione anaerobica;;;;;;;
Area geografica;Numero impianti;Frazione organica RU (t);Fanghi (t);Altro (t);Totale (t);;
Nord;22;260.249,5;369.538,9;97.947,7;727.736,2;;
Sud;2;27.348,7;3.578,0;36.842,0;67.768,7;;
Italia;24;287.598,2;373.116,9;134.789,7;795.504,9;;
Trattamento meccanico biologico (TMB);;;;;;;
Area geografica;Numero impianti;RU indiff. (t);Rif. da trattamento RU (t);Altri RU (t);Tot. RU e tratt. RU (t);RS(t);
Nord;40;1.766.900,9;423.395,0;73.382,8;2.263.678,7;116.828,0;
Centro;37;2.705.221,0;185.144,0;82.847,0;2.973.212,0;47.503,0;
Sud;53;5.066.123,0;315.906,0;33.458,0;5.415.487,0;27.727,0;
Italia;130;9.538.244,9;924.445,0;189.687,8;10.652.377,7;192.058,0;
Incenerimento;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);RS non pericolosi(t);RS pericolosi(t);
Nord;26;2.663.217,1;1.020.053,0;3.683.270,0;755.765,2;30.215,9;
Centro;7;96.764,5;502.126,4;598.890,9;21.217,2;730,9;
Sud;6;67.294,3;917.323,4;984.617,7;11.914,9;26.609,7;
Italia;39;2.827.275,8;2.439.502,7;5.266.778,6;788.897,3;57.556,6;
Coincenerimento;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);Da trattmento RS (t);RS non pericolosi(t);RS pericolosi(t)
Nord;9;33.005,0;221.057,0;254.062,0;69.960,0;111.089,0;14.311,0
Centro;1;0,0;10.196,0;10.196,0;17.027,0;0,0;0,0
Sud;2;0,0;103.580,0;103.580,0;24.282,0;47,0;0,0
Italia;12;33.005,0;334.833,0;367.838,0;111.269,0;111.136,0;14.311,0
Smaltimento in discarica;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);RS (t);;
Nord;51;254.104,6;1.464.600,2;1.718.704,8;2.020.344,5;;
Centro;27;93.993,3;1.439.114,5;1.533.107,7;908.022,6;;
Sud;45;112.566,0;3.562.169,2;3.674.735,1;971.046,4;;
Italia;123;460.663,8;6.465.883,8;6.926.547,7;3.899.413,6;;
Andamento del numero di impianti per tipologia;;;;;;;
Anno;Compostaggio (n.);Tratt. integrato (n.);Dig. anaerobica (n.);TMB (n.);Incenerimento (n.);Coincenerimento (n.);Discarica (n.)
2017;285;31;24;130;39;12;123
2016;274;31;21;130;41;12;134
2015;263;26;20;118;41;17;149
