regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2024;19.352;21;19.373
LOMBARDIA;2024;80.374;1.344;81.719
TRENTINO ALTO ADIGE;2024;23;0;23
VENETO;2024;5.850;1.698;7.547
FRIULI VENEZIA GIULIA;2024;29.681;0;29.681
LIGURIA;2024;16.423;0;16.423
EMILIA ROMAGNA;2024;13.348;0;13.348
TOSCANA;2024;14.236;0;14.236
UMBRIA;2024;1;0;1
MARCHE;2024;49;0;49
LAZIO;2024;3.037;0;3.037
CAMPANIA;2024;26.968;0;26.968
PUGLIA;2024;3.142;0;3.142
CALABRIA;2024;26;0;26
SICILIA;2024;2;0;2
SARDEGNA;2024;5;2;7
Italia;2024;212.517;3.065;215.582
