Quantitativi di rifiuti urbani (e di rifiuti dal trattamento dei rifiuti urbani) importati per regione - 2018 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
PIEMONTE;2018;          18.575;               0;          18.575;
LOMBARDIA;2018;          72.558;             718;          73.276;
TRENTINO ALTO ADIGE;2018;             230;               0;             230;
VENETO;2018;          20.699;           1.130;          21.829;
FRIULI VENEZIA GIULIA;2018;          13.490;               0;          13.490;
LIGURIA;2018;           2.257;               0;           2.257;
EMILIA ROMAGNA;2018;           8.159;               0;           8.159;
TOSCANA;2018;          14.205;               0;          14.205;
UMBRIA;2018;             129;               0;             129;
MARCHE;2018;           4.035;               0;           4.035;
LAZIO;2018;             133;               0;             133;
ABRUZZO;2018;             233;               0;             233;
CAMPANIA;2018;          39.073;              90;          39.163;
PUGLIA;2018;             483;               0;             483;
BASILICATA;2018;               0;             178;             178;
CALABRIA;2018;             347;               0;             347;
SICILIA;2018;             134;               8;             142;
SARDEGNA;2018;              56;               0;              56;
Italia;2018;         194.795;           2.124;         196.919;

Quantitativi di rifiuti urbani (e di rifiuti dal trattamento dei rifiuti urbani) importati per Paese di provenienza - 2018 (ISPRA);
	Paese;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
AFGHANISTAN;2018;              43,8;               0,0;              43,8;
ALBANIA;2018;              54,3;               0,0;              54,3;
ALGERIA;2018;               0,5;               0,0;               0,5;
AUSTRIA;2018;          13.614,3;             351,6;          13.965,9;
BAHAMAS;2018;               0,3;               0,0;               0,3;
BAHREIN;2018;               2,0;               0,0;               2,0;
BELGIO;2018;           1.473,4;               0,0;           1.473,4;
BULGARIA;2018;             140,4;               0,0;             140,4;
CANADA;2018;               2,0;               0,0;               2,0;
CINA;2018;             310,1;               0,0;             310,1;
CIPRO;2018;               0,1;               0,0;               0,1;
COREA DEL SUD;2018;               0,6;               0,0;               0,6;
CROAZIA;2018;             828,0;               0,0;             828,0;
DANIMARCA;2018;               1,7;               0,0;               1,7;
EIRE;2018;             183,8;               0,0;             183,8;
EMIRATI ARABI UNITI;2018;             322,6;               0,0;             322,6;
FRANCIA;2018;          36.831,3;             360,8;          37.192,1;
GABON;2018;           2.552,8;               0,0;           2.552,8;
GERMANIA;2018;          32.620,2;               8,3;          32.628,6;
GIAMAICA;2018;              13,5;               0,0;              13,5;
GIAPPONE;2018;               0,4;               0,0;               0,4;
GIBILTERRA;2018;               0,0;               0,0;               0,0;
GIORDANIA;2018;              18,4;               0,0;              18,4;
GRECIA;2018;             372,7;               1,4;             374,1;
GUINEA;2018;               0,7;               0,0;               0,7;
HONG KONG;2018;               0,9;               0,0;               0,9;
INDIA;2018;             154,8;               0,0;             154,8;
ISLANDA;2018;               1,0;               0,0;               1,0;
ISOLA DI MAN;2018;               0,7;               0,0;               0,7;
ISOLE FALKLAND;2018;               0,4;               0,0;               0,4;
ISOLE MARSHALL;2018;               0,5;               0,0;               0,5;
KENYA;2018;               0,3;               0,0;               0,3;
LETTONIA;2018;              24,6;               0,0;              24,6;
LIBERIA;2018;               0,4;               0,0;               0,4;
LUSSEMBURGO;2018;              18,4;               0,0;              18,4;
MACEDONIA;2018;               5,5;               0,0;               5,5;
MALESIA;2018;               6,4;               0,0;               6,4;
MALTA;2018;             833,7;             536,3;           1.370,0;
MESSICO;2018;               2,5;              88,7;              91,1;
NORVEGIA;2018;             141,4;               0,0;             141,4;
PAESI BASSI;2018;           5.065,3;               0,0;           5.065,3;
PAKISTAN;2018;             182,4;               0,0;             182,4;
PANAMA;2018;               0,6;               0,0;               0,6;
POLONIA;2018;           4.831,8;               0,0;           4.831,8;
PORTOGALLO;2018;             394,5;               0,0;             394,5;
REGNO UNITO;2018;           5.326,8;               0,0;           5.326,8;
REPUBBLICA CECA;2018;           1.363,5;               0,0;           1.363,5;
ROMANIA;2018;              54,8;               0,0;              54,8;
SENEGAL;2018;             323,2;               0,0;             323,2;
SERBIA E MONTENEGRO;2018;              81,9;               0,0;              81,9;
SINGAPORE;2018;               1,0;               0,0;               1,0;
SLOVACCHIA;2018;             122,1;               0,0;             122,1;
SLOVENIA;2018;          14.891,1;             777,0;          15.668,1;
SPAGNA;2018;           3.213,3;               0,0;           3.213,3;
SVEZIA;2018;             649,4;               0,0;             649,4;
SVIZZERA;2018;          65.406,0;               0,0;          65.406,0;
TAIWAN;2018;              20,5;               0,0;              20,5;
TUNISIA;2018;             178,0;               0,0;             178,0;
TURCHIA;2018;             208,9;               0,0;             208,9;
UNGHERIA;2018;           1.830,6;               0,0;           1.830,6;
USA;2018;              70,3;               0,1;              70,3;
TOTALE;;         194.795,2;           2.124,1;         196.919,4;
		
Andamento delle importazioni di rifiuti urbani (e di rifiuti dal trattamento dei rifiuti urbani) - ISPRA;
	Anno;Quantitativo (t)
2018;         196.919,4;

