	Dati di sintesi della produzione dei rifiuti speciali - 2019 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
Nord;      81.676.686;       6.970.103;               0;      88.646.789;
Centro;      25.708.975;       1.287.263;               0;      26.996.238;
Sud;      36.434.016;       1.897.281;               0;      38.331.297;
Italia;     143.819.677;      10.154.647;               0;     153.974.324;

		Produzione dei rifiuti speciali pericolosi e non pericolosi per attivita' economica - 2019 (ISPRA);
		Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
		01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;         244.131;          26.459;          40.411;         311.001;
02 - Silvicoltura ed utilizzo di aree forestali;           3.951;             548;              70;           4.569;
03 - Pesca e acquacoltura;           1.090;           1.093;           1.293;           3.476;
05 - Estrazione di carbone (esclusa torba);              56;               9;-;              65;
06 - Estrazione di petrolio greggio e di gas naturale;          69.137;          24.695;       1.135.575;       1.229.407;
07 - Estrazione di minerali metalliferi;               1;             269;             126;             396;
08 - Altre attivita' di estrazione di minerali da cave e miniere;          49.149;          60.863;           6.065;         116.077;
09 - Attivita' dei servizi di supporto all'estrazione;         182.063;           1.475;           2.105;         185.643;
10, 11 - Industria alimentare e delle bevande;       1.965.865;         463.543;         951.773;       3.381.181;
12 - Industria del tabacco;          14.803;           2.065;             492;          17.360;
13 - Industria tessile;         223.111;          78.486;          36.476;         338.073;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;          62.462;          37.943;          23.967;         124.372;
15 - Fabbricazione di articoli in pelle e simili;         275.678;         215.830;          45.273;         536.781;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;       1.118.690;          82.466;          97.705;       1.298.861;
17 - Fabbricazione di carta e di prodotti in carta;         891.471;         462.097;         169.784;       1.523.352;
18 - Stampa e riproduzione di supporti registrati;         306.998;          61.859;          32.702;         401.559;
19 - Raffinerie petrolio, fabbricazione coke;         283.583;          39.813;         177.599;         500.995;
20 - Fabbricazione di prodotti chimici;       1.084.094;         578.207;         211.267;       1.873.568;
