Quantitativi di rifiuti speciali esportati per regione - 2020 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
PIEMONTE;2020;         107.037;         193.231;         300.268;
VALLE D'AOSTA;2020;             644;           2.984;           3.627;
LOMBARDIA;2020;         638.548;         534.048;       1.172.597;
TRENTINO ALTO ADIGE;2020;         132.750;          23.229;         155.980;
VENETO;2020;         353.661;         139.190;         492.851;
FRIULI VENEZIA GIULIA;2020;         321.317;          28.571;         349.888;
LIGURIA;2020;          55.731;           1.647;          57.378;
EMILIA ROMAGNA;2020;         171.560;         142.364;         313.924;
TOSCANA;2020;          77.078;          63.719;         140.797;
UMBRIA;2020;           8.244;           7.232;          15.476;
MARCHE;2020;          33.866;          13.840;          47.706;
LAZIO;2020;          72.360;           4.416;          76.776;
ABRUZZO;2020;          27.513;           9.825;          37.338;
MOLISE;2020;              50;              11;              61;
CAMPANIA;2020;         189.305;          25.352;         214.657;
PUGLIA;2020;         110.234;             796;         111.031;
BASILICATA;2020;           7.490;               0;           7.490;
CALABRIA;2020;          34.549;           8.288;          42.838;
SICILIA;2020;          17.771;             574;          18.346;
SARDEGNA;2020;          38.824;          36.347;          75.172;
Italia;2020;       2.398.534;       1.235.664;       3.634.198;

Quantitativi di rifiuti speciali esportati per Paese di destinazione - 2020 (ISPRA);
	Paese;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
AFGHANISTAN;2020;             145,6;               0,8;             146,4;
ALBANIA;2020;             944,6;               0,0;             944,6;
ARGENTINA;2020;               6,1;               0,0;               6,1;
AUSTRALIA;2020;             770,0;               0,0;             770,0;
AUSTRIA;2020;         339.425,6;          92.442,4;         431.868,0;
BELGIO;2020;          40.327,7;          33.773,1;          74.100,8;
BOLIVIA;2020;              25,0;               0,0;              25,0;
BOSNIA-ERZEGOVINA;2020;           5.802,4;               0,0;           5.802,4;
BRASILE;2020;             122,4;               0,0;             122,4;
BRUNEI DARUSSALAM;2020;           1.068,8;               0,0;           1.068,8;
BULGARIA;2020;          18.379,7;          19.500,7;          37.880,5;
CANADA;2020;             181,9;               0,0;             181,9;
CILE;2020;             111,6;              11,7;             123,3;
CINA;2020;          40.384,4;               0,0;          40.384,4;
CIPRO;2020;          30.119,4;               0,0;          30.119,4;
COREA DEL SUD;2020;           8.210,4;               0,0;           8.210,4;
