Quantitativi di rifiuti urbani (e di rifiuti dal trattamento dei rifiuti urbani) esportati per regione - 2020 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
PIEMONTE;2020;          16.163;           1.548;          17.711;
LOMBARDIA;2020;          36.470;           1.595;          38.065;
TRENTINO ALTO ADIGE;2020;           6.612;              55;           6.667;
VENETO;2020;          51.790;             374;          52.164;
FRIULI VENEZIA GIULIA;2020;          46.597;              26;          46.623;
LIGURIA;2020;              38;              59;              98;
EMILIA ROMAGNA;2020;          28.719;              33;          28.751;
TOSCANA;2020;          19.246;              65;          19.310;
MARCHE;2020;             166;               0;             166;
LAZIO;2020;          54.006;               0;          54.006;
ABRUZZO;2020;          35.202;               0;          35.202;
MOLISE;2020;              47;               0;              47;
CAMPANIA;2020;         252.871;               0;         252.871;
PUGLIA;2020;           3.997;               0;           3.997;
CALABRIA;2020;          22.956;               0;          22.956;
SICILIA;2020;             143;               0;             143;
SARDEGNA;2020;           2.483;               0;           2.483;
Italia;2020;         577.506;           3.754;         581.260;

Quantitativi di rifiuti urbani (e di rifiuti dal trattamento dei rifiuti urbani) esportati per Paese di destinazione - 2020 (ISPRA);
	Paese;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
AFGHANISTAN;2020;           2.482,5;               0,0;           2.482,5;
AUSTRIA;2020;         120.236,9;             228,6;         120.465,5;
BELGIO;2020;           4.524,0;               0,0;           4.524,0;
BOSNIA-ERZEGOVINA;2020;           2.344,1;               0,0;           2.344,1;
BULGARIA;2020;           9.568,2;               0,0;           9.568,2;
CINA;2020;           2.666,1;               0,0;           2.666,1;
CIPRO;2020;          29.334,6;               0,0;          29.334,6;
CROAZIA;2020;           8.320,2;               0,0;           8.320,2;
DANIMARCA;2020;          29.338,6;              45,1;          29.383,7;
FRANCIA;2020;             973,0;             141,1;           1.114,1;
GERMANIA;2020;          45.806,8;             423,4;          46.230,2;
GHANA;2020;              20,6;               0,0;              20,6;
GRECIA;2020;           3.438,8;               0,0;           3.438,8;
HONG KONG;2020;              39,6;               0,0;              39,6;
INDIA;2020;          10.216,8;               0,0;          10.216,8;
INDONESIA;2020;           6.987,6;               0,0;           6.987,6;
LETTONIA;2020;             931,7;               0,0;             931,7;
LITUANIA;2020;             788,2;               0,0;             788,2;
MACEDONIA;2020;             666,4;               0,0;             666,4;
MALESIA;2020;           3.919,7;               0,0;           3.919,7;
MALTA;2020;              42,7;               0,0;              42,7;
PAESI BASSI;2020;          14.980,0;               0,0;          14.980,0;
PAKISTAN;2020;           2.316,1;               0,0;           2.316,1;
POLONIA;2020;           2.835,3;               0,0;           2.835,3;
PORTOGALLO;2020;          56.257,8;             827,5;          57.085,4;
REPUBBLICA CECA;2020;             410,5;               0,0;             410,5;
ROMANIA;2020;           1.436,0;               0,0;           1.436,0;
SLOVACCHIA;2020;          26.285,7;               0,0;          26.285,7;
SLOVENIA;2020;          24.845,0;               0,0;          24.845,0;
SOMALIA;2020;              35,0;               0,0;              35,0;
SPAGNA;2020;          58.188,9;             779,8;          58.968,7;
SVIZZERA;2020;           5.604,2;           1.308,8;           6.913,0;
THAILANDIA;2020;             559,8;               0,0;             559,8;
TUNISIA;2020;          33.313,8;               0,0;          33.313,8;
TURCHIA;2020;          25.797,4;               0,0;          25.797,4;
UNGHERIA;2020;          41.358,1;               0,0;          41.358,1;
VIETNAM;2020;             634,8;               0,0;             634,8;
TOTALE;;         577.505,6;           3.754,2;         581.259,9;
		
Andamento delle esportazioni di rifiuti urbani (e di rifiuti dal trattamento dei rifiuti urbani) - ISPRA;
	Anno;Quantitativo (t)
2020;         581.259,9;
2019;         514.524,7;
2018;         464.516,7;

