Quantitativi di frazione organica avviati fuori regione - 2020 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2020;          71.087;
Valle d'Aosta;2020;          14.441;
Lombardia;2020;          32.114;
Trentino-Alto Adige;2020;          34.512;
Veneto;2020;         144.877;
Friuli-Venezia Giulia;2020;          11.434;
Liguria;2020;          80.690;
Emilia-Romagna;2020;         125.421;
Toscana;2020;         170.220;
Umbria;2020;          22.014;
Marche;2020;          92.758;
Lazio;2020;         268.431;
Abruzzo;2020;          35.647;
Molise;2020;               5;
Campania;2020;         414.544;
Puglia;2020;         162.407;
Basilicata;2020;          33.137;
Calabria;2020;               0;
Sicilia;2020;          40.137;
Sardegna;2020;               1;
Italia;2020;       1.753.877;

Andamento del totale dei flussi extraregionali della frazione organica (ISPRA);
	Anno;Quantitativo (t)
2020;       1.753.877;
2019;       1.695.019;
2018;       1.670.462;
		
Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento fuori regione, - 2020 (ISPRA);
	Regione;Anno;Quantitativo (t)
PIEMONTE;2020;         109.525,0;
VALLE D'AOSTA;2020;               0,0;
LOMBARDIA;2020;          12.506,7;
TRENTINO ALTO ADIGE;2020;           2.995,0;
VENETO;2020;          31.670,3;
FRIULI VENEZIA GIULIA;2020;          20.401,0;
LIGURIA;2020;         103.263,1;
EMILIA ROMAGNA;2020;           3.794,6;
TOSCANA;2020;          31.846,0;
UMBRIA;2020;               0,0;
MARCHE;2020;           1.773,9;
LAZIO;2020;         136.296,6;
ABRUZZO;2020;          49.965,1;
MOLISE;2020;             378,0;
CAMPANIA;2020;          79.357,8;
PUGLIA;2020;          41.112,9;
BASILICATA;2020;           3.518,0;
CALABRIA;2020;          16.111,1;
SICILIA;2020;               0,0;
SARDEGNA;2020;               0,0;
Italia;2020;         644.515,1;


Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento (ISPRA);
	Anno;Quantitativo (t)
2020;         644.515,1;

Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica fuori regione, - 2020 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2020;           8.556,7;
Valle d'Aosta;2020;               0,0;
Lombardia;2020;          89.326,7;
Trentino-Alto Adige;2020;             798,2;
Veneto;2020;          10.866,0;
Friuli-Venezia Giulia;2020;             983,9;
Liguria;2020;           5.664,3;
Emilia-Romagna;2020;          66.508,0;
Toscana;2020;           2.631,7;
Umbria;2020;             437,8;
Marche;2020;           5.919,2;
Lazio;2020;           9.671,0;
Abruzzo;2020;          11.047,3;
Molise;2020;               0,0;
Campania;2020;          50.234,3;
Puglia;2020;           3.374,3;
Basilicata;2020;           2.644,8;
Calabria;2020;           5.989,3;
Sicilia;2020;               0,0;
Sardegna;2020;               0,0;
Italia;2020;         274.653,3;

		

Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica (ISPRA);
	Anno;Quantitativo (t)
2020;         274.653,3;
2019;         366.991,7;
2018;         557.055,1;

