Quantitativi di frazione organica avviati fuori regione - 2021 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2021;          79.739;
Valle d'Aosta;2021;          14.101;
Lombardia;2021;          37.932;
Trentino-Alto Adige;2021;          28.895;
Veneto;2021;         155.329;
Friuli-Venezia Giulia;2021;          12.938;
Liguria;2021;          74.948;
Emilia-Romagna;2021;         138.246;
Toscana;2021;         215.220;
Umbria;2021;          26.636;
Marche;2021;          94.856;
Lazio;2021;         285.166;
Abruzzo;2021;          44.762;
Molise;2021;           1.716;
Campania;2021;         490.186;
Puglia;2021;         149.766;
Basilicata;2021;          44.075;
Calabria;2021;           2.656;
Sicilia;2021;          91.066;
Sardegna;2021;               0;
Italia;2021;       1.988.233;

Andamento del totale dei flussi extraregionali della frazione organica (ISPRA);
	Anno;Quantitativo (t)
2021;       1.988.233;
2020;       1.753.877;
2019;       1.695.019;
2018;       1.670.462;
		
Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento fuori regione, - 2021 (ISPRA);
	Regione;Anno;Quantitativo (t)
PIEMONTE;2021;         104.701,0;
VALLE D'AOSTA;2021;               0,0;
LOMBARDIA;2021;          19.551,3;
TRENTINO ALTO ADIGE;2021;             920,8;
VENETO;2021;          24.745,6;
FRIULI VENEZIA GIULIA;2021;          17.438,2;
LIGURIA;2021;          62.114,3;
EMILIA ROMAGNA;2021;          19.320,3;
TOSCANA;2021;          20.015,9;
UMBRIA;2021;             305,7;
MARCHE;2021;           2.109,7;
LAZIO;2021;         145.206,3;
ABRUZZO;2021;          37.040,6;
MOLISE;2021;             116,5;
CAMPANIA;2021;          79.720,3;
PUGLIA;2021;          36.169,3;
BASILICATA;2021;           2.447,8;
CALABRIA;2021;          11.879,4;
SICILIA;2021;             230,4;
SARDEGNA;2021;               0,0;
Italia;2021;         584.033,0;


Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento (ISPRA);
	Anno;Quantitativo (t)
2021;         584.033,0;
2020;         644.515,1;

Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica fuori regione, - 2021 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2021;          80.207,5;
Valle d'Aosta;2021;               0,0;
Lombardia;2021;          97.573,2;
Trentino-Alto Adige;2021;             149,2;
Veneto;2021;          12.455,3;
Friuli-Venezia Giulia;2021;             983,8;
Liguria;2021;           9.133,5;
Emilia-Romagna;2021;          99.930,8;
Toscana;2021;          15.639,3;
Umbria;2021;           1.735,6;
Marche;2021;             386,1;
Lazio;2021;          89.442,1;
Abruzzo;2021;          52.725,0;
Molise;2021;               0,0;
Campania;2021;          53.993,6;
Puglia;2021;           3.853,3;
Basilicata;2021;           2.413,5;
Calabria;2021;          30.876,4;
Sicilia;2021;               5,2;
Sardegna;2021;               0,0;
Italia;2021;         551.503,3;

		

Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica (ISPRA);
	Anno;Quantitativo (t)
2021;         551.503,3;
2020;         274.653,3;
2019;         366.991,7;
2018;         557.055,1;

