Quantitativi di rifiuti speciali importati per regione - 2022 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
PIEMONTE;2022;         188.271;           6.753;         195.024;
VALLE D'AOSTA;2022;               1;               0;               1;
LOMBARDIA;2022;       3.309.615;          25.044;       3.334.659;
TRENTINO ALTO ADIGE;2022;         124.087;               3;         124.090;
VENETO;2022;         803.519;              48;         803.567;
FRIULI VENEZIA GIULIA;2022;       1.928.944;               0;       1.928.944;
LIGURIA;2022;          35.668;               9;          35.677;
EMILIA ROMAGNA;2022;         307.683;              62;         307.745;
TOSCANA;2022;          27.063;           2.645;          29.708;
UMBRIA;2022;           1.273;               0;           1.273;
MARCHE;2022;           9.322;             166;           9.488;
LAZIO;2022;           1.615;               1;           1.616;
ABRUZZO;2022;           1.381;               0;           1.381;
MOLISE;2022;             243;               0;             243;
CAMPANIA;2022;          11.576;               1;          11.577;
PUGLIA;2022;             256;              92;             348;
BASILICATA;2022;               8;               0;               8;
CALABRIA;2022;          16.241;               0;          16.241;
SICILIA;2022;              25;             319;             344;
SARDEGNA;2022;             356;          71.011;          71.367;
Italia;2022;       6.767.147;         106.154;       6.873.301;

Quantitativi di rifiuti speciali importati per Paese di provenienza - 2022 (ISPRA);
	Paese;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
AFGHANISTAN;2022;               0,0;               9,0;               9,0;
ALBANIA;2022;           5.027,0;               0,0;           5.027,0;
ANDORRA;2022;               3,3;               0,2;               3,5;
ANTARTIDE;2022;              29,8;               0,0;              29,8;
ANTIGUA E BARBUDA;2022;              46,2;               0,1;              46,2;
ARABIA SAUDITA;2022;           4.954,3;               0,0;           4.954,3;
ARGENTINA;2022;               0,0;              13,1;              13,1;
AUSTRALIA;2022;             482,7;               0,0;             482,7;
AUSTRIA;2022;         635.803,2;             874,7;         636.677,9;
BAHAMAS;2022;               0,0;               0,0;               0,0;
BAHREIN;2022;             101,5;               0,0;             101,5;
BANGLADESH;2022;              44,9;               0,0;              44,9;
BARBADOS;2022;               0,0;               0,1;               0,1;
BELGIO;2022;          39.809,6;           1.156,9;          40.966,5;
BOLIVIA;2022;             177,4;               0,0;             177,4;
BOSNIA-ERZEGOVINA;2022;          14.425,7;             277,9;          14.703,6;
BRASILE;2022;             531,3;               0,0;             531,3;
BULGARIA;2022;          44.783,0;               0,0;          44.783,0;
CAMBOGIA;2022;               0,5;               2,0;               2,4;
CANADA;2022;           3.961,8;               0,0;           3.961,8;
CILE;2022;             178,7;               0,0;             178,7;
CINA;2022;           5.473,4;               0,0;           5.473,4;
CIPRO;2022;           1.455,3;              65,4;           1.520,7;
