Quantitativi di frazione organica avviati fuori regione - 2022 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2022;          55.918;
Valle d'Aosta;2022;          13.464;
Lombardia;2022;          59.616;
Trentino-Alto Adige;2022;          28.599;
Veneto;2022;         169.911;
Friuli-Venezia Giulia;2022;           6.343;
Liguria;2022;          61.711;
Emilia-Romagna;2022;         102.410;
Toscana;2022;         217.514;
Umbria;2022;          23.512;
Marche;2022;          86.383;
Lazio;2022;         289.749;
Abruzzo;2022;          59.748;
Molise;2022;           3.008;
Campania;2022;         480.433;
Puglia;2022;          41.374;
Basilicata;2022;          28.884;
Calabria;2022;           1.551;
Sicilia;2022;          44.861;
Sardegna;2022;               0;
Italia;2022;       1.774.989;

Andamento del totale dei flussi extraregionali della frazione organica (ISPRA);
	Anno;Quantitativo (t)
2022;       1.774.989;
2021;       1.988.233;
2020;       1.753.877;
2019;       1.695.019;
2018;       1.670.462;
		
Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento fuori regione, - 2022 (ISPRA);
	Regione;Anno;Quantitativo (t)
PIEMONTE;2022;          95.610,3;
VALLE D'AOSTA;2022;               0,0;
LOMBARDIA;2022;          15.463,6;
TRENTINO ALTO ADIGE;2022;          15.120,6;
VENETO;2022;          16.730,1;
FRIULI VENEZIA GIULIA;2022;          12.637,5;
LIGURIA;2022;          56.171,9;
EMILIA ROMAGNA;2022;          16.337,7;
TOSCANA;2022;          20.257,8;
UMBRIA;2022;             303,9;
MARCHE;2022;           1.392,2;
LAZIO;2022;         153.853,8;
ABRUZZO;2022;          30.995,4;
MOLISE;2022;               0,0;
CAMPANIA;2022;         106.687,8;
PUGLIA;2022;          23.220,3;
BASILICATA;2022;               0,0;
CALABRIA;2022;           6.733,5;
SICILIA;2022;           3.405,0;
SARDEGNA;2022;               0,0;
Italia;2022;         574.921,3;


Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento (ISPRA);
	Anno;Quantitativo (t)
2022;         574.921,3;
2021;         584.033,0;
2020;         644.515,1;

Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica fuori regione, - 2022 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2022;          80.976,2;
Valle d'Aosta;2022;               0,0;
Lombardia;2022;         102.631,6;
Trentino-Alto Adige;2022;              95,1;
Veneto;2022;          12.067,3;
Friuli-Venezia Giulia;2022;              43,4;
Liguria;2022;           6.179,8;
Emilia-Romagna;2022;          78.523,7;
Toscana;2022;           5.006,5;
Umbria;2022;               0,0;
Marche;2022;           7.258,6;
Lazio;2022;          82.833,8;
Abruzzo;2022;          61.509,4;
Molise;2022;               0,0;
Campania;2022;          36.339,6;
Puglia;2022;           3.805,8;
Basilicata;2022;           5.951,2;
Calabria;2022;           9.211,9;
Sicilia;2022;               0,0;
Sardegna;2022;               0,0;
Italia;2022;         492.434,1;

		

Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica (ISPRA);
	Anno;Quantitativo (t)
2022;         492.434,1;
2021;         551.503,3;
2020;         274.653,3;
2019;         366.991,7;
2018;         557.055,1;

