Quantitativi di frazione organica avviati fuori regione - 2023 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2023;          64.860;
Valle d'Aosta;2023;          14.133;
Lombardia;2023;         113.509;
Trentino-Alto Adige;2023;          23.638;
Veneto;2023;         161.978;
Friuli-Venezia Giulia;2023;           8.998;
Liguria;2023;          72.061;
Emilia-Romagna;2023;          82.960;
Toscana;2023;         254.281;
Umbria;2023;          25.706;
Marche;2023;          86.509;
Lazio;2023;         276.051;
Abruzzo;2023;          85.352;
Molise;2023;             560;
Campania;2023;         476.168;
Puglia;2023;          73.065;
Basilicata;2023;          30.009;
Calabria;2023;           5.229;
Sicilia;2023;          92.690;
Sardegna;2023;               0;
Italia;2023;       1.947.757;

Andamento del totale dei flussi extraregionali della frazione organica (ISPRA);
	Anno;Quantitativo (t)
2023;       1.947.757;
2022;       1.774.989;
2021;       1.988.233;
2020;       1.753.877;
2019;       1.695.019;
2018;       1.670.462;
		
Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento fuori regione, - 2023 (ISPRA);
	Regione;Anno;Quantitativo (t)
PIEMONTE;2023;          83.747,2;
VALLE D'AOSTA;2023;               0,0;
LOMBARDIA;2023;          13.531,5;
TRENTINO ALTO ADIGE;2023;           2.962,6;
VENETO;2023;          10.336,6;
FRIULI VENEZIA GIULIA;2023;           5.856,3;
LIGURIA;2023;          65.173,8;
EMILIA ROMAGNA;2023;          23.329,0;
TOSCANA;2023;          23.555,5;
UMBRIA;2023;             170,7;
MARCHE;2023;             876,9;
LAZIO;2023;         175.507,3;
ABRUZZO;2023;          32.353,0;
MOLISE;2023;               0,0;
CAMPANIA;2023;         254.553,8;
PUGLIA;2023;          24.108,1;
BASILICATA;2023;               0,0;
CALABRIA;2023;           8.282,0;
SICILIA;2023;          15.052,8;
SARDEGNA;2023;               0,0;
Italia;2023;         739.397,2;


Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento (ISPRA);
	Anno;Quantitativo (t)
2023;         739.397,2;
2022;         574.921,3;
2021;         584.033,0;
2020;         644.515,1;

Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica fuori regione, - 2023 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2023;         111.547,2;
Valle d'Aosta;2023;               0,0;
Lombardia;2023;          98.509,5;
Trentino-Alto Adige;2023;             431,1;
Veneto;2023;          14.033,0;
Friuli-Venezia Giulia;2023;               0,0;
Liguria;2023;           8.489,1;
Emilia-Romagna;2023;          47.902,8;
Toscana;2023;             736,4;
Umbria;2023;             112,6;
Marche;2023;          10.335,0;
Lazio;2023;         191.916,1;
Abruzzo;2023;          20.974,2;
Molise;2023;             338,9;
Campania;2023;          28.528,1;
Puglia;2023;           8.344,0;
Basilicata;2023;             750,1;
Calabria;2023;           2.438,9;
Sicilia;2023;               0,0;
Sardegna;2023;               0,0;
Italia;2023;         545.386,8;

		

Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica (ISPRA);
	Anno;Quantitativo (t)
2023;         545.386,8;
2022;         492.434,1;
2021;         551.503,3;
2020;         274.653,3;
2019;         366.991,7;
2018;         557.055,1;

